dex,info1,info2,link,note
,Base,0xdd4536dD9636564D891c919416880a3e250f975A,,factory
,Solana,9dzSzFvPsKDoY2gdWErsuz2H1o4tbzvgBhrNZ9cvkD2j,,contract address
DODO,ALL,,https://api.dodoex.io/dodo-contract/list,all contract addresses
Verse,ETH,0x16bc2B187D7C7255b647830C05a6283f2B9A3AF8,,factory
Maverick Protocol V1,ETH,0xEb6625D65a0553c9dBc64449e56abFe519bd9c9B,,factory
,zkSync,0x2C1a605f843A2E18b7d7772f0Ce23c236acCF7f5,,factory
,BSC,0x76311728FF86054Ad4Ac52D2E9Ca005BC702f589,,factory
,Base,0xB2855783a346735e4AAe0c1eb894DEf861Fa9b45,,factory
Maverick Protocol V2,Arbitrum,0x0A7e848Aca42d879EF06507Fca0E7b33A0a63c1e,,factory
,Base,0x0A7e848Aca42d879EF06507Fca0E7b33A0a63c1e,,factory
,BSC,0x0A7e848Aca42d879EF06507Fca0E7b33A0a63c1e,,factory
,ETH,0x0A7e848Aca42d879EF06507Fca0E7b33A0a63c1e,,factory
,Scroll,0x0A7e848Aca42d879EF06507Fca0E7b33A0a63c1e,,factory
,zkSync,0x7A6902af768a06bdfAb4F076552036bf68D1dc56,,factory
MOODAR,ETH,0x1e895bFe59E3A5103e8B7dA3897d1F2391476f3c,,factory
